index,doi,url,custom-analysis,cited-program,used-data,cited-data,used-results,cited-results,country,report,agency,bbs_auths,notes,bbs.og_citation
,,,,,,,,,,,,,,"Betts, Matthew G., Phalan, Ben, Frey,  Sarah J. K., Rousseau,  Josée S., Yang,  Zhiqiang (2018). Old-growth forests buffer climate-sensitive bird populations from warming. Diversity and Distributions. 24:439-447."
,,,,,,,,,,,,,,"Ertl, Hannah M. H., Mora, Miguel A., Brightsmith, Donald J., Navarro-Alberto, Jorge A. (2018). Potential impact of neonicotinoid use on Northern bobwhite (Colinus virginianus) in Texas: A historical analysis. PLoS ONE. 13:1-15."
,,,,,,,,,,,,,,"Boone, John D., Ammon, Elisabeth, Johnson, Kristine (2018). Long-term declines in the Pinyon Jay and management implications for piñon–juniper woodlands, in Trends and traditions: Avifaunal change in western North America (W. D. Shuford, R. E. Gill Jr., and C. M. Handel, eds.). Studies of Western Birds. 3:190-197."
,,,,,,,,,,,,,,"Conway, Courtney J. (2018). Spatial and Temporal Patterns In Population Trends and Burrow Usage of Burrowing Owls In North America. Journal of Raptor Research. 52:129-142."
,,,,,,,,,,,,,,"Jarzyna, Marta A., Jetz, Walter (2018). Taxonomic and functional diversity change is scale dependent. Nature Communications. 9:1-8."
,,,,,,,,,,,,,,"Kellner, Kenneth F., Ruhl, Patrick J., Dunning, John B., Jr., Barnes, Kevin W. , Saunders, Michael R., Swihart, Robert K. (2018). Local-scale habitat components driving bird abundance in eastern deciduous forests. The American Midland Naturalist. 180:52-65."
,,,,,,,,,,,,,,"Drever, Mark C., Smith, Adam C., Venier, Lisa A., Sleep, Darren J.H., MacLean, David A. (2018). Cross-scale effects of spruce budworm outbreaks on boreal warblers in eastern Canada. Ecology and Evolution. 8:7334-7345."
,,,,,,,,,,,,,,"Fedy, Bradley C., Devries, James H., Howerter, David W., Row, Jeffrey R. (2018). Distribution of priority grassland bird habitats in the Prairie Pothole Region of Canada. Avian Conservation and Ecology. 13:1-43."
,,,,,,,,,,,,,,"Kolstoe, Sonja, Cameron, Trudy A., Wilsey, Chad (2018). Climate, Land Cover, and Bird Populations: Differential Impacts on the Future Welfare of Birders across the Pacific Northwest. Agricultural and Resource Economics Review. 47:272-310."
,,,,,,,,,,,,,,"Ruegg, Kristen, Bay, Rachael A., Anderson, Eric C., Saracco, James F., Harrigan, Ryan J., Whitfield, Mary, Paxton, Eben H., Smith, Thomas B. (2018). Ecological genomics predicts climate vulnerability in an endangered southwestern songbird. Ecology Letters. 21:1085-1096."
,,,,,,,,,,,,,,"Gaüzère, Pierre, Iversen, Lars Lønsmann, Barnagaud,Jean-Yves, Svenning, Jens-Christian, Blonder, Benjamin (2018). Empirical predictability of community responses to climate change. Frontiers in Ecology and Evolution. 8:1-16."
,,,,,,,,,,,,,,"Green, Adam W., Correll, Maureen D., George, T. Luke, Davidson, Ian, Gallagher, Seth, West, Chris, Lopata, Annamarie, Casey, Daniel, Ellison, Kevin, Pavlacky, David C., Jr., Quattrini, Laura, Shaw, Allison E., Strasser, Erin H., VerCauteren, Tammy, Panjabi, Arvind O. (2018). Using Structured Decision Making to prioritize species assemblages for conservation. Journal for Nature Conservation. 45:48-57."
,,,,,,,,,,,,,,"Harris, David J., Taylor, Shawn, White, Ethan P. (2018). Forecasting biodiversity in breeding birds using best practices. PeerJ. 1-27."
,,,,,,,,,,,,,,"Sofaer, Helen R., Jarnevich, Catherine S., Flather, Curtis H. (2018). Misleading prioritizations from modelling range shifts under climate change. Global Ecology and Biogeography. 27:658-666."
,,,,,,,,,,,,,,"Horns, Joshua J., Adler, Frederick R., Sekercioglu, Çagan H. (2018). Using opportunistic citizen science data to estimate avian population trends. Biological Conservation. 221:151-159."
,,,,,,,,,,,,,,"Knight, Samantha M., Bradley, David W., Clark, Robert G., Gow, Elizabeth A., Belisle, Marc, Berzins, Lisha L., Blake, Tricia, Bridge, Eli S., Burke, Lauren, Dawson, Russell D., Dunn, Peter O., Garant, Dany, Holroyd, Geoffrey L., Hussell, David J. T., Lansdorp, Olga, Laughlin, Andrew J., Leonard, Marty L., Pelletier, Fanie, Shutler, Dave, Siefferman, Lynn, Taylor, Caz M., Trefry, Helen E., Vleck, Carol M., Vleck, David, Winkler, David W., Whittingham, Linda A., Norris, D. Ryan (2018). Constructing and evaluating a continent-wide migratory songbird network across the annual cycle. Ecological Monographs. 88:445-460."
,,,,,,,,,,,,,,"Kramer, Gunnar R., Andersen, David E., Buehler, David A., Wood, Petra B., Peterson, Sean M. , Lehman, Justin A., Aldinger, Kyle R., Bulluck, Lesley P., Harding, Sergio, Jones, John A., Loegering,  John P., Smalling, Curtis, Vallender, Rachel, Streby, Henry M. (2018). Population trends in Vermivora warblers are linked to strong migratory connectivity. Proceedings of the National Academy of Sciences. 115:E3192-E3200."
,,,,,,,,,,,,,,"Loman, Zachary G.,  Deluca, William V., Harrison, Daniel J., Loftin, Cynthia S., Rolek, Brian W., Wood, Petra B. (2018). Landscape capability models as a tool to predict fine-scale forest bird occupancy and abundance. Landscape Ecology. 33:77-91."
,,,,,,,,,,,,,,"Martin, Amanda E., Fahrig, Lenore (2018). Habitat specialist birds disperse farther and are more migratory than habitat generalist birds. Ecology. 99:2058-2066."
,,,,,,,,,,,,,,"Marull, Joan, Cunfer, Geoff, Sylvester, Kenneth, Tello, Enric (2018). A landscape ecology assessment of land-use change on the Great Plains-Denver (CO, USA) metropolitan edge. Regional Environmental Change. 18:1765-1782."
,,,,,,,,,,,,,,"Newberry, G. N., Swanson, D. L. (2018). Common Nighthawks (Chordeiles minor) in the Western Corn Belt: Habitat Associations and Population Effects of Grassland and Rooftop Nesting Habitat Conversion. The American Midland Naturalist. 180:216-232."
,,,,,,,,,,,,,,"Regos, Andrian, Imbeau, Louis, Desrochers, Melanie, Leduc, Alain, Robert, Michel, Jobin, Benoit, Brotons, Lluis, Drapeau, Pierre (2018). Hindcasting the impacts of land-use changes on bird communities with species distribution models of Bird Atlas data. Ecological Applications. 28:1867-1883."
,,,,,,,,,,,,,,"Rich, Johnathan L., Currie, David J. (2018). Are North American bird species’ geographic ranges mainly determined by climate?. Global Ecology and Biogeography. 27:461-473."
